NDVI,MNDWI,elevation,slope,aspect,clay,sand,soc,bdod,Mapped_Label
0.45660377,-0.30277795,224,2,52,237,333,97,141,Cotton (Kapas)
0.23199293,-0.5415177,319,2,180,157,353,111,155,Cotton (Kapas)
0.48017755,-0.39893425,376,1,180,304,311,83,141,Cotton (Kapas)
0.3090076,-0.3842607,581,2,270,314,188,232,139,Cotton (Kapas)
0.37381405,-0.34773824,219,1,270,259,333,98,141,Cotton (Kapas)
0.39564866,-0.34773445,333,1,0,301,323,86,139,Cotton (Kapas)
0.5564202,-0.45816734,333,2,147,293,334,78,140,Cotton (Kapas)
0.15083799,-0.29752257,307,1,0,281,320,98,139,Cotton (Kapas)
0.21861656,-0.32419196,487,2,232,324,220,169,143,Cotton (Kapas)
0.46080443,-0.31421408,218,3,111,261,317,101,141,Cotton (Kapas)
0.4700422,-0.323137,335,2,52,283,329,80,140,Cotton (Kapas)
0.5401376,-0.34163836,451,3,69,308,308,195,140,Cotton (Kapas)
0.2604228,-0.2193893,420,2,53,303,282,176,140,Cotton (Kapas)
0.21409214,-0.42801046,287,3,46,203,325,119,154,Cotton (Kapas)
0.44018453,-0.2691736,499,2,53,278,259,154,140,Cotton (Kapas)
0.45759857,-0.35579693,370,1,180,278,338,90,141,Cotton (Kapas)
0.48658046,-0.35665172,446,1,0,294,251,146,141,Cotton (Kapas)
0.42154673,-0.3714987,316,1,0,294,324,69,139,Cotton (Kapas)
0.36333334,-0.20285714,385,2,213,290,260,193,142,Cotton (Kapas)
0.20256059,-0.32085472,318,2,308,323,322,87,139,Cotton (Kapas)
0.1911315,-0.5177545,324,4,134,186,368,128,153,Cotton (Kapas)
0.50704855,-0.35794464,394,2,233,276,305,106,141,Cotton (Kapas)
0.3535611,-0.2236822,515,2,233,289,262,144,140,Cotton (Kapas)
0.51240295,-0.36461428,491,0,0,345,211,169,139,Cotton (Kapas)
0.4426814,-0.32001403,224,2,180,278,309,88,142,Cotton (Kapas)
0.36474696,-0.24352331,363,5,0,290,274,131,140,Cotton (Kapas)
0.21754307,-0.3185435,297,1,0,293,305,87,140,Cotton (Kapas)
0.3868762,-0.38787615,340,4,90,317,313,78,139,Cotton (Kapas)
0.47545788,-0.384168,410,2,180,310,270,193,139,Cotton (Kapas)
0.47230047,-0.32219067,318,1,180,300,321,79,141,Cotton (Kapas)
0.44410288,-0.30528256,449,1,180,298,320,174,140,Cotton (Kapas)
0.27394408,-0.19560094,402,1,270,270,320,118,139,Cotton (Kapas)
0.59717596,-0.34506923,394,2,53,266,310,145,142,Cotton (Kapas)
0.29957807,-0.17663817,245,2,53,255,341,97,139,Cotton (Kapas)
0.27813584,-0.26291078,262,1,270,264,372,94,140,Cotton (Kapas)
0.25838432,-0.5694051,314,2,153,187,441,150,155,Cotton (Kapas)
0.13858625,-0.30236936,338,3,157,285,323,89,137,Cotton (Kapas)
0.22963554,-0.54063606,317,1,0,192,448,150,155,Cotton (Kapas)
0.4094462,-0.29084003,412,2,327,311,258,168,139,Cotton (Kapas)
0.34118706,-0.33806652,512,2,213,324,202,167,142,Cotton (Kapas)
0.22856699,-0.311861,372,3,180,292,314,81,140,Cotton (Kapas)
0.51550883,-0.38912448,417,1,270,292,288,188,139,Cotton (Kapas)
0.28142905,-0.38089198,377,4,198,307,320,90,142,Cotton (Kapas)
0.20877026,-0.5458622,312,4,333,180,429,118,153,Cotton (Kapas)
0.14948605,-0.33659318,293,2,52,307,299,84,140,Cotton (Kapas)
0.5078714,-0.35954887,438,1,180,251,304,180,140,Cotton (Kapas)
0.6091625,-0.43966034,585,2,52,316,184,240,138,Cotton (Kapas)
0.14658427,-0.29828614,302,2,232,297,308,71,139,Cotton (Kapas)
0.48262548,-0.27671233,244,1,180,277,333,87,139,Cotton (Kapas)
0.21516375,-0.3137236,318,1,90,314,323,85,139,Cotton (Kapas)
0.627878,-0.48130563,333,3,291,283,331,94,139,Cotton (Kapas)
0.1552552,-0.31997314,304,2,308,300,308,88,141,Cotton (Kapas)
0.41952926,-0.3607704,504,4,297,261,314,156,140,Cotton (Kapas)
0.20131052,-0.5085347,309,0,0,182,426,98,153,Cotton (Kapas)
0.13598074,-0.2980195,436,0,0,290,257,139,140,Cotton (Kapas)
0.30507594,-0.33621222,549,2,327,253,295,217,141,Cotton (Kapas)
0.16779853,-0.342931,374,0,0,281,333,86,142,Cotton (Kapas)
0.18882838,-0.49334615,310,2,0,183,408,115,154,Cotton (Kapas)
